timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-09-16T00:00:00Z,0.35777185,0.37850381,0.34403929,0.37190627,6464297.88,0.35675075,0.37780939,0.34535785,0.37556329,2570107.73,2570107,2027895,1043317,822977
2021-09-15T00:00:00Z,0.35506971,0.37656822,0.35127306,0.35926033,6649496.37,0.35383016,0.37610216,0.35121351,0.35869033,3128942.50,3128942,1965638,1008994,545920
2021-09-14T00:00:00Z,0.40077899,0.40206437,0.34135248,0.35528307,6744988.90,0.40204826,0.40346402,0.34106781,0.35385978,2940526.33,2940526,2229258,966538,608666
2021-09-13T00:00:00Z,0.41155805,0.41665400,0.37255132,0.40212564,9057403.04,0.41378320,0.41745975,0.37305986,0.40323942,4063962.82,4063962,2148095,1078628,1766715
2021-09-12T00:00:00Z,0.44427997,0.44575730,0.40290287,0.41121100,9109843.10,0.44487013,0.44616278,0.40533625,0.41389371,3304038.87,3304038,2155519,1070341,2579943
2021-09-11T00:00:00Z,0.36758897,0.47303492,0.35995534,0.44559867,11746706.91,0.36035135,0.47320138,0.35419546,0.44606900,5917399.93,5917399,2040034,1166263,2623009
2021-09-10T00:00:00Z,0.45110418,0.46092522,0.36956547,0.40150410,14317457.52,0.45292500,0.46020000,0.36850000,0.39912500,7559631.69,7559631,1853504,989271,3915050
2021-09-09T00:00:00Z,0.38083034,0.51156488,0.37472366,0.45197322,20414103.95,0.37912500,0.51165000,0.37477500,0.45335000,12042993.71,12042993,2059794,,6311315
2021-09-08T00:00:00Z,0.37927118,0.38753003,0.30308055,0.37962334,16496269.97,0.38137500,0.38502500,0.30282500,0.37707500,8935091.97,8935091,2201973,,5359204
2021-09-07T00:00:00Z,0.41643496,0.47342700,0.33388255,0.37867353,18251786.74,0.41770000,0.47500000,0.33462500,0.38027500,11814898.25,11814898,2235449,,4201438
2021-09-06T00:00:00Z,0.36737480,0.42364047,0.35172318,0.41489607,12070194.90,0.36687500,0.42000000,0.35270000,0.41765000,5984564.66,5984564,2551388,,3534241
2021-09-05T00:00:00Z,0.35327557,0.36901048,0.34213169,0.36785796,7725907.27,0.35275000,0.36750000,0.34000000,0.36602500,2280664.15,2280664,4308167,,1137075
